Company,Valuation ($B),Date Joined,Country,Industry,Select Investors
Huike Group,$1,05/24/2018,China,Edtech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co."
Orbbec Technology,$1,5/21/2018,China,Hardware,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China"
Preferred Networks,$2,5/17/2018,Japan,Artificial intelligence,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Darktrace,$1.65,5/15/2018,United Kingdom,Artificial intelligence,"KKR, Ten Eleven Ventures, Summit Partners"
Circle Internet Financial,$3,5/15/2018,United States,Fintech,"General Catalyst, Digital Currency Group, Accel"
ThoughtSpot,$1,5/8/2018,United States,Internet software & services,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
Soundhound,$1,05/03/2018,United States,Artificial intelligence,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
Infi,$1.25,5/1/2018,Israel,Artificial intelligence,Pacific Century Group
Flexport,$3.20,4/30/2018,United States,"Supply chain, logistics, & delivery","Bloomberg Beta, Founders Fund, First Round Capital"
Revolut,$5.50,4/26/2018,United Kingdom,Fintech,"index Ventures, DST Global, Ribbit Capital"
Manbang Group,$6,4/24/2018,China,"Supply chain, logistics, & delivery","Softbank Group, CapitalG"
BYTON,$2.50,4/20/2018,China,Auto & transportation,"FAW Group, Tencent Holdings, Tus Holdings"
Discord,$3.50,04/20/2018,United States,Internet software & services,"Benchmark, Greylock Partners, Tencent Holdings"
100credit,$1,4/18/2018,China,Fintech,"Sequoia Capital China, China Reform Fund, Hillhouse Capital Management"
AIWAYS,$1.59,4/16/2018,China,Auto & transportation,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Dxy.cn,$1,04/10/2018,China,Health,"Tencent Holdings, DCM Ventures"
Xinchao Media,$1.72,4/9/2018,China,Internet software & services,"JD.com, Baidu, Vision Plus Capital"
WTOIP,$1.27,4/8/2018,China,Internet software & services,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
Youxia Motors,$3.35,4/2/2018,China,Auto & transportation,"China Environmental Protection Industry, China Fortune Ocean"
